Index_Crimes,Date,Monster involved,Days of Investigation,Region,Crime Type,Crime Weapon,Time of Day,Evidence Found
8225,2020-05-12,Ghost,33.0,village,vandalism,knife,night,potions
602,2021-02-07,Zombie,75.0,mountain,murder,N/A,night,potions
9427,2022-02-17,Witch,65.0,mountain,kidnapping,N/A,dawn,potions
6937,2022-06-17,Werewolf,35.0,forest,assault,N/A,dusk,fur
7000,2021-02-12,Ghost,84.0,castle,vandalism,pistol,dawn,cloak
445,2022-05-23,Vampire,82.0,castle,assault,knife,night,teeth
534,2020-01-11,Ghost,57.0,castle,vandalism,axe,night,cloak
327,2023-06-14,Zombie,26.0,swamp,assault,axe,dawn,potions
5136,2021-01-21,Witch,42.0,swamp,arson,knife,dusk,cloak
2466,2019-11-09,Zombie,9.0,swamp,assault,knife,dusk,teeth
8335,2021-10-04,Ghost,94.0,village,nightly disturbance,pistol,night,potions
9961,2019-11-13,Zombie,82.0,swamp,assault,knife,dusk,potions
3320,2021-02-24,Skeleton,13.0,forest,nightly disturbance,N/A,night,bones
3554,2022-08-10,Zombie,58.0,village,kidnapping,brute force,night,potions
2368,2021-02-27,Vampire,87.0,castle,nightly disturbance,axe,night,cloak
5856,2020-04-12,Vampire,63.0,castle,nightly disturbance,brute force,night,cloak
5421,2023-09-25,Skeleton,61.0,mountain,arson,pistol,dusk,bones
6604,2021-05-31,Zombie,13.0,forest,kidnapping,knife,night,potions
3395,2022-09-09,Zombie,54.0,forest,kidnapping,N/A,dusk,potions
9555,2022-08-10,Werewolf,27.0,forest,assault,brute force,night,fur
9769,2022-07-05,Ghost,85.0,village,vandalism,N/A,dawn,cloak
8287,2021-09-17,Vampire,84.0,castle,assault,knife,night,blood
1481,2023-11-17,Skeleton,74.0,mountain,vandalism,N/A,day,bones
987,2020-01-22,Ghost,34.0,castle,nightly disturbance,N/A,night,potions
8117,2020-06-02,Skeleton,43.0,mountain,vandalism,brute force,dawn,bones
7126,2024-04-03,Ghost,88.0,castle,nightly disturbance,brute force,night,cloak
6109,2024-04-18,Witch,28.0,mountain,arson,N/A,day,cloak
3308,2024-01-20,Zombie,75.0,swamp,kidnapping,pistol,dawn,bones
5241,2023-11-30,Ghost,83.0,village,vandalism,brute force,dawn,cloak
6944,2020-05-28,Ghost,95.0,village,vandalism,pistol,dawn,cloak
1156,2020-11-10,Skeleton,50.0,mountain,vandalism,N/A,day,bones
3020,2020-08-11,Ghost,16.0,castle,vandalism,knife,night,cloak
6221,2022-05-02,Werewolf,83.0,forest,nightly disturbance,knife,night,fur
2106,2024-08-29,Skeleton,49.0,mountain,arson,axe,dusk,bones
2969,2022-02-01,Vampire,76.0,castle,nightly disturbance,axe,night,blood
9421,2024-07-29,Zombie,84.0,forest,vandalism,pistol,night,bones
5480,2024-07-03,Werewolf,17.0,swamp,assault,pistol,night,bones
6200,2021-08-16,Ghost,40.0,castle,nightly disturbance,knife,night,cloak
3686,2023-01-08,Skeleton,22.0,mountain,vandalism,axe,dusk,bones
9334,2022-09-09,Witch,2.0,village,kidnapping,n/A,dawn,potions
7869,2022-05-30,Vampire,8.0,castle,murder,axe,night,blood
2115,2020-06-21,Vampire,85.0,village,assault,brute force,night,teeth
8393,2020-08-14,Zombie,30.0,swamp,kidnapping,knife,night,potions
9357,2022-01-14,Skeleton,12.0,mountain,assault,pistol,day,bones
7571,2021-10-18,Witch,27.0,swamp,arson,brute force,day,potions
2472,2020-08-31,Vampire,53.0,village,assault,brute force,dawn,Blood
2985,2022-11-29,Zombie,14.0,swamp,kidnapping,pistol,dawn,fur
9014,2023-10-22,Vampire,26.0,castle,nightly disturbance,knife,night,blood
5800,2023-08-22,Skeleton,42.0,castle,vandalism,N/A,dusk,cloak
7531,2020-07-31,Werewolf,54.0,forest,Assault,N/A,night,fur
9008,2024-03-19,Werewolf,68.0,mountain,assault,N/A,night,fur
3217,2021-08-17,Werewolf,14.0,forest,assault,axe,dusk,fur
5327,2020-10-12,Vampire,2.0,village,nightly disturbance,axe,night,blood
7715,2021-10-10,Werewolf,48.0,forest,kidnapping,axe,dawn,fur
5504,2022-03-07,zombie,80.0,swamp,kidnapping,pistol,night,teeth
2039,2020-02-08,Werewolf,31.0,forest,assault,brute force,night,Blood
3365,2024-03-29,Ghost,17.0,village,vandalism,brute force,dawn,potions
1808,2020-08-27,Skeleton,99.0,castle,vandalism,axe,dawn,bones
7617,2023-06-28,Werewolf,73.0,forest,nightly disturbance,knife,night,teeth
708,2022-09-10,Skeleton,48.0,mountain,nightly disturbance,N/A,night,cloak
4662,2024-08-26,Witch,78.0,swamp,arson,knife,day,potions
780,2022-12-17,Werewolf,93.0,forest,nightly disturbance,knife,night,teeth
9573,2021-04-23,Zombie,55.0,swamp,kidnapping,knife,night,teeth
4585,2022-12-26,Witch,56.0,village,arson,N/A,night,cloak
9600,2024-04-18,Vampire,15.0,castle,assault,knife,night,cloak
5688,2021-07-16,Werewolf,46.0,forest,assault,pistol,dusk,bones
511,2024-06-23,Skeleton,61.0,castle,assault,axe,day,cloak
4632,2024-09-26,Witch,87.0,VILLAGE,arson,pistol,dusk,fur
453,2020-05-21,Zombie,68.0,forest,kidnapping,brute force,day,potions
9740,2020-05-28,Werewolf,46.0,forest,assault,knife,night,fur
920,2024-01-11,Ghost,26.0,castle,vandalism,pistol,night,potions
1734,2021-02-21,Witch,90.0,village,arson,N/A,night,teeth
4387,2024-05-22,Ghost,79.0,castle,vandalism,pistol,night,cloak
5890,2022-10-27,Zombie,2.0,mountain,kidnapping,knife,dusk,potions
587,2020-06-07,Skeleton,59.0,forest,assault,brute force,day,cloak
6619,2022-09-16,Zombie,64.0,swamp,kidnapping,N/A,dawn,blood
4675,2023-02-13,Witch,28.0,swamp,kidnapping,axe,dawn,blood
7081,2019-12-02,Werewolf,93.0,FOREST,assault,knife,night,blood
7857,2019-11-24,Werewolf,44.0,forest,kidnapping,knife,night,bones
7709,2022-04-07,Zombie,40.0,mountain,murder,axe,dawn,bones
8342,2021-10-15,Ghost,80.0,castle,vandalism,axe,night,potions
2741,2021-07-05,Skeleton,66.0,mountain,assault,knife,day,cloak
1356,2024-02-02,Vampire,6.0,castle,assault,N/A,night,teeth
6802,2023-04-14,Witch,82.0,village,assault,N/A,day,cloak
9983,2022-02-19,Vampire,63.0,castle,murder,pistol,night,blood
1421,2024-06-05,Vampire,94.0,castle,assault,brute force,dawn,blood
5119,2022-10-18,Ghost,91.0,castle,vandalism,N/A,night,cloak
7599,2020-08-21,Werewolf,41.0,mountain,nightly disturbance,axe,night,fur
7343,2022-04-23,Vampire,45.0,forest,assault,N/A,dawn,blood
8674,2022-09-22,Ghost,88.0,village,vandalism,pistol,dusk,cloak
7443,2021-05-25,Witch,41.0,village,kidnapping,knife,dusk,potions
5024,2020-04-19,Werewolf,78.0,forest,assault,axe,dawn,fur
7073,2023-03-04,Werewolf,44.0,forest,assault,axe,night,teeth
1403,2021-12-23,Zombie,56.0,village,kidnapping,knife,dawn,potions
2727,2022-04-28,Witch,35.0,village,arson,brute force,day,potions
1963,2022-09-03,Werewolf,68.0,village,assault,pistol,dusk,teeth
2944,2021-01-12,Werewolf,20.0,forest,assault,pistol,night,teeth
6215,2024-04-26,Witch,85.0,village,assault,axe,day,potions
5580,2023-06-13,Witch,50.0,village,arson,knife,dawn,cloak
1675,2020-04-01,Witch,59.0,swamp,arson,knife,dawn,potions
9758,2021-04-27,Ghost,22.0,village,arson,knife,dusk,potions
2883,2022-04-17,Skeleton,58.0,mountain,assault,knife,day,bones
3975,2021-05-17,Witch,3.0,village,arson,N/A,day,fur
3770,2020-08-29,Vampire,39.0,village,assault,brute force,night,blood
9556,2024-01-18,Zombie,99.0,swamp,murder,pistol,dusk,potions
3380,2023-01-14,Werewolf,91.0,mountain,kidnapping,brute force,night,teeth
882,2024-07-16,Vampire,25.0,castle,nightly disturbance,pistol,night,cloak
1903,2022-12-02,Zombie,68.0,forest,murder,N/A,dusk,blood
8268,2021-01-24,Werewolf,43.0,mountain,kidnapping,knife,night,fur
1709,2022-06-21,Ghost,9.0,village,arson,knife,night,potions
3991,2020-06-05,Zombie,75.0,mountain,kidnapping,pistol,dawn,blood
5249,2020-01-04,Witch,44.0,swamp,arson,N/A,dusk,teeth
5832,2022-08-19,Vampire,92.0,castle,murder,brute force,dusk,blood
3851,2021-07-03,Skeleton,18.0,mountain,nightly disturbance,N/A,night,bones
156,2021-11-09,Zombie,29.0,swamp,vandalism,knife,dawn,teeth
4927,2022-04-07,Ghost,82.0,village,nightly disturbance,knife,night,cloak
4904,2021-05-25,Witch,14.0,village,theft,knife,day,fur
4717,2023-06-08,Vampire,20.0,mountain,theft,pistol,night,cloak
7858,2020-07-05,Vampire,62.0,mountain,assault,brute force,night,teeth
8475,2024-05-24,Werewolf,70.0,forest,nightly disturbance,axe,night,teeth
6283,2023-10-06,Zombie,44.0,forest,kidnapping,brute force,day,bones
342,2022-03-12,Witch,95.0,swamp,arson,brute force,day,bones
636,2021-08-02,Zombie,19.0,swamp,kidnapping,knife,day,teeth
5816,2023-02-10,Werewolf,89.0,forest,vandalism,knife,night,blood
6436,2021-03-26,Zombie,64.0,swamp,kidnapping,N/A,dusk,bones
9685,2024-04-30,Vampire,45.0,mountain,murder,N/A,night,blood
5901,2019-12-05,Werewolf,52.0,swamp,nightly disturbance,brute force,night,fur
7238,2020-08-22,Zombie,19.0,village,murder,brute force,day,teeth
5482,2021-04-10,Skeleton,10.0,forest,vandalism,knife,dusk,bones
3609,2023-03-17,Zombie,79.0,swamp,assault,brute force,dusk,bones
51,2020-05-06,Werewolf,75.0,forest,vandalism,axe,dusk,blood
1017,2023-04-13,Witch,35.0,village,arson,N/A,day,blood
3362,2024-01-22,Zombie,37.0,forest,Kidnapping,knife,dawn,potions
5423,2020-05-15,Ghost,88.0,village,nightly disturbance,knife,night,cloak
8888,2022-09-28,Witch,94.0,swamp,arson,axe,dusk,cloak
2730,2023-08-26,Zombie,67.0,mountain,murder,N/A,night,potions
7253,2023-04-09,Werewolf,31.0,forest,assault,N/A,NIGHT,blood
1958,2023-03-12,Skeleton,12.0,forest,arson,N/A,dawn,bones
639,2022-09-11,Werewolf,48.0,forest,assault,pistol,dusk,potions
219,2022-11-07,Vampire,74.0,castle,assault,brute force,dusk,blood
8740,2020-09-26,Vampire,94.0,castle,murder,brute force,night,blood
2373,2024-01-10,Ghost,52.0,castle,vandalism,N/A,dawn,cloak
1856,2024-09-08,Ghost,50.0,mountain,vandalism,knife,night,potions
6957,2023-06-29,Zombie,43.0,swamp,vandalism,N/A,dusk,bones
6529,2022-06-11,Witch,35.0,mountain,kidnapping,knife,dusk,potions
4144,2020-06-23,Skeleton,86.0,mountain,nightly disturbance,knife,night,cloak
288,2020-02-27,Skeleton,23.0,mountain,vandalism,axe,dusk,cloak
2452,2020-08-24,Ghost,80.0,castle,nightly disturbance,knife,night,cloak
7574,2023-03-23,Vampire,15.0,castle,assault,pistol,night,Blood
8704,2021-08-23,Werewolf,37.0,forest,kidnapping,knife,dusk,blood
4263,2023-09-19,Vampire,66.0,mountain,nightly disturbance,brute force,night,teeth
3424,2023-10-03,Werewolf,90.0,mountain,assault,knife,dawn,teeth
6966,2021-12-08,Ghost,73.0,castle,vandalism,brute force,night,potions
2519,2022-10-11,Werewolf,47.0,Forest,assault,knife,night,blood
9784,2024-03-14,Vampire,25.0,castle,nightly disturbance,N/A,night,blood
5876,2024-02-09,Vampire,35.0,castle,murder,knife,dusk,TEETH
1235,2024-04-06,Werewolf,10.0,swamp,assault,N/A,night,teeth
9903,2020-06-03,Vampire,41.0,castle,murder,knife,dawn,cloak
7070,2023-09-03,Ghost,12.0,village,vandalism,knife,dusk,cloak
5810,2022-03-09,Zombie,5.0,forest,murder,N/A,day,bones
103,2023-06-18,Vampire,44.0,castle,assault,N/A,night,teeth
555,2024-03-14,Ghost,27.0,castle,arson,knife,night,cloak
4429,2023-08-14,Vampire,45.0,castle,nightly disturbance,axe,night,blood
883,2022-06-13,Witch,82.0,village,ARSON,axe,night,potions
2674,2021-02-24,Werewolf,88.0,mountain,assault,pistol,night,fur
9890,2020-02-09,Witch,30.0,swamp,arson,axe,day,cloak
6273,2019-11-03,Witch,54.0,swamp,arson,brute force,dawn,bones
2473,2022-11-26,Werewolf,68.0,forest,nightly disturbance,brute force,Night,teeth
3140,2020-12-27,Ghost,95.0,castle,arson,pistol,dusk,potions
5128,2021-03-06,Witch,23.0,village,arson,axe,night,cloak
5238,2021-06-24,Witch,65.0,mountain,Assault,knife,dusk,teeth
9926,2021-08-18,Skeleton,36.0,mountain,nightly disturbance,knife,night,bones
5680,2020-10-18,Vampire,26.0,mountain,assault,knife,night,teeth
4498,2024-07-08,Vampire,2.0,castle,nightly disturbance,pistol,night,blood
6637,2024-07-06,vampire,20.0,village,assault,brute force,night,cloak
7790,2020-11-18,Vampire,51.0,castle,assault,pistol,dawn,teeth
2702,2023-12-14,Skeleton,59.0,mountain,vandalism,brute force,day,bones
9003,2022-01-04,Skeleton,76.0,mountain,arson,axe,day,cloak
424,2020-01-19,Skeleton,63.0,mountain,vandalism,knife,dusk,cloak
6222,2021-08-07,Ghost,43.0,castle,vandalism,knife,dusk,potions
9429,2023-01-22,WEREWOLF,7.0,village,assault,brute force,night,Bones
7968,2022-04-13,GHOST,53.0,castle,theft,N/A,night,potions
2505,2022-03-27,Witch,38.0,swamp,kidnapping,knife,dawn,fur
8665,2024-03-01,Werewolf,80.0,forest,Assault,N/A,night,fur
2716,2021-06-05,Ghost,4.0,village,nightly disturbance,N/A,night,potions
246,2024-02-14,Skeleton,75.0,castle,nightly disturbance,N/A,night,cloak
5229,2021-01-29,Ghost,30.0,village,vandalism,N/A,dusk,potions
3070,2022-10-07,Vampire,68.0,village,murder,pistol,night,blood
4208,2023-10-12,Witch,8.0,village,kidnapping,N/A,dusk,potions
4659,2021-08-08,Vampire,83.0,forest,nightly disturbance,brute force,night,blood
1533,2019-12-28,Werewolf,11.0,mountain,assault,knife,night,bones
166,2020-09-07,Skeleton,92.0,Mountain,vandalism,knife,dusk,bones
1085,2021-07-18,Vampire,35.0,castle,assault,N/A,night,teeth
9789,2021-11-03,Ghost,7.0,village,arson,pistol,dusk,potions
2722,2024-08-10,Vampire,74.0,village,assault,knife,night,cloak
158,2020-08-08,Werewolf,33.0,swamp,assault,brute force,night,potions
7793,2020-11-06,Skeleton,47.0,swamp,assault,knife,day,cloak
1398,2022-06-23,Zombie,19.0,forest,assault,knife,night,bones
9613,2022-04-01,Skeleton,1.0,mountain,arson,N/A,day,bones
4167,2024-05-15,Zombie,50.0,mountain,kidnapping,pistol,night,potions
7674,2023-12-18,Skeleton,98.0,mountain,nightly disturbance,brute force,night,bones
9123,2023-10-11,Zombie,72.0,swamp,vandalism,knife,dusk,potions
7995,2021-04-21,Witch,48.0,village,arson,N/A,night,cloak
7232,2022-01-03,Werewolf,45.0,swamp,nightly disturbance,pistol,night,teeth
2732,2021-08-14,Zombie,24.0,swamp,kidnapping,knife,night,fur
2292,2023-09-29,Zombie,14.0,swamp,kidnapping,axe,night,potions
967,2023-11-02,Vampire,7.0,castle,nightly disturbance,N/A,night,cloak
1625,2023-05-25,Witch,68.0,village,arson,brute force,dawn,blood
6301,2022-01-11,Zombie,61.0,mountain,kidnapping,knife,dawn,bones
548,2021-10-31,Werewolf,53.0,forest,vandalism,brute force,night,teeth
8135,2023-07-07,Witch,26.0,mountain,arson,knife,dawn,potions
1890,2022-05-16,werewolf,81.0,swamp,kidnapping,brute force,night,bones
1622,2024-04-28,vampire,8.0,mountain,murder,brute force,dusk,teeth
5750,2021-08-14,Witch,65.0,forest,arson,axe,day,bones
3658,2024-04-30,Witch,71.0,village,kidnapping,N/A,dusk,potions
6086,2023-04-25,Zombie,87.0,swamp,murder,knife,night,blood
5649,2024-01-10,Ghost,25.0,castle,vandalism,N/A,dawn,cloak
8445,2022-05-24,Vampire,93.0,castle,theft,pistol,dawn,cloak
5738,2020-09-01,Vampire,63.0,castle,nightly disturbance,knife,night,blood
6723,2021-07-01,Ghost,21.0,castle,arson,N/A,night,potions
3547,2024-10-04,Witch,94.0,village,kidnapping,N/A,dawn,cloak
2707,2022-12-23,Witch,23.0,village,arson,N/A,night,potions
1218,2023-09-10,Ghost,12.0,castle,vandalism,N/A,night,potions
2594,2024-08-29,Skeleton,33.0,forest,assault,N/A,night,bones
1231,2023-09-06,Zombie,85.0,swamp,kidnapping,pistol,night,bones
3809,2020-10-14,Ghost,30.0,village,arson,knife,night,cloak
9746,2021-03-26,Ghost,26.0,village,nightly disturbance,N/A,night,cloak
6533,2020-09-08,Witch,4.0,swamp,kidnapping,N/A,dawn,teeth
2299,2021-07-25,Vampire,10.0,castle,murder,pistol,dusk,blood
4729,2020-06-23,Vampire,20.0,Forest,assault,pistol,dusk,cloak
3800,2022-02-06,Witch,95.0,village,arson,axe,dusk,bones
6650,2024-01-06,Zombie,23.0,forest,kidnapping,knife,night,blood
5720,2021-07-02,Skeleton,81.0,swamp,vandalism,N/A,day,bones
4510,2020-07-26,Witch,89.0,village,arson,N/A,day,teeth
9640,2023-09-12,Vampire,70.0,mountain,nightly disturbance,knife,night,cloak
8844,2022-11-30,Vampire,14.0,castle,theft,N/A,night,teeth
2391,2021-05-29,Skeleton,86.0,castle,assault,brute force,day,cloak
9254,2022-04-08,Werewolf,23.0,forest,nightly disturbance,N/A,night,fur
6462,2021-02-27,Zombie,82.0,mountain,kidnapping,axe,day,fur
4855,2021-06-18,Witch,74.0,swamp,arson,axe,day,teeth
3944,2022-12-08,Skeleton,67.0,mountain,arson,N/A,dusk,bones
3092,2022-02-16,Witch,96.0,forest,arson,knife,day,bones
4003,2022-04-18,Zombie,90.0,mountain,kidnapping,N/A,dawn,bones
8730,2021-12-17,Witch,53.0,forest,arson,knife,day,bones
1131,2020-10-31,Ghost,11.0,village,vandalism,axe,dawn,potions
4839,2022-01-28,Vampire,53.0,village,nightly disturbance,axe,night,blood
4994,2021-04-14,Skeleton,81.0,mountain,nightly disturbance,brute force,night,cloak
9881,2023-04-18,Ghost,33.0,village,vandalism,axe,night,cloak
9562,2022-04-18,Vampire,82.0,castle,theft,knife,night,blood
7683,2019-12-27,Werewolf,28.0,mountain,nightly disturbance,N/A,night,teeth
4190,2022-02-05,Skeleton,46.0,mountain,assault,brute force,day,cloak
9721,2020-03-20,Witch,4.0,swamp,kidnapping,brute force,night,bones
9517,2024-08-07,Zombie,6.0,forest,murder,N/A,dusk,blood
1485,2023-07-01,Zombie,96.0,swamp,murder,brute force,dusk,blood
461,2020-03-18,Zombie,24.0,mountain,assault,pistol,day,blood
6011,2020-06-03,Skeleton,97.0,forest,arson,axe,dawn,bones
4368,2024-03-05,Zombie,28.0,swamp,Kidnapping,knife,dusk,potions
2621,2023-11-27,Witch,14.0,swamp,arson,pistol,dusk,cloak
4356,2021-06-30,Skeleton,7.0,mountain,vandalism,N/A,day,bones
1136,2020-07-15,Ghost,25.0,village,nightly disturbance,N/A,night,cloak
3336,2023-05-30,Zombie,12.0,swamp,kidnapping,knife,day,blood
8932,2022-09-01,Skeleton,64.0,swamp,assault,brute force,day,bones
8926,2021-05-28,Witch,93.0,swamp,arson,axe,day,bones
6828,2023-12-09,Ghost,43.0,village,nightly disturbance,knife,night,potions
7057,2023-03-13,Skeleton,76.0,castle,assault,pistol,dusk,cloak
3998,2023-04-22,Vampire,9.0,village,nightly disturbance,knife,night,cloak
6303,2022-05-23,Witch,15.0,village,arson,N/A,dawn,potions
5012,2020-03-04,Witch,49.0,swamp,arson,N/A,dusk,Cloak
3297,2020-05-12,Zombie,29.0,swamp,kidnapping,pistol,night,potions
2528,2022-06-18,Vampire,89.0,castle,assault,knife,night,blood
3267,2020-06-16,Ghost,25.0,village,nightly disturbance,brute force,night,potions
6286,2020-09-30,Vampire,65.0,castle,assault,knife,dusk,cloak
202,2021-04-21,Werewolf,35.0,mountain,assault,axe,dawn,bones
6746,2021-01-02,Witch,42.0,swamp,kidnapping,knife,dusk,bones
1983,2024-02-17,Ghost,27.0,village,NIGHTLY DISTURBANCE,pistol,night,potions
4287,2022-05-10,Vampire,16.0,castle,nightly disturbance,axe,night,teeth
6168,2023-10-03,Vampire,25.0,castle,assault,pistol,night,cloak
9732,2022-03-31,Skeleton,69.0,castle,assault,knife,dawn,bones
6621,2020-05-13,Zombie,54.0,village,kidnapping,N/A,dusk,fur
3530,2024-02-28,Vampire,82.0,castle,assault,axe,dawn,teeth
6544,2024-04-03,Vampire,67.0,forest,nightly disturbance,pistol,night,blood
5442,2024-09-08,Skeleton,44.0,castle,vandalism,brute force,day,bones
7740,2023-09-07,Witch,45.0,village,kidnapping,axe,night,potions
4562,2021-02-09,Werewolf,62.0,forest,nightly disturbance,knife,night,fur
4992,2023-08-16,Vampire,30.0,castle,assault,brute force,night,cloak
1248,2020-08-16,vampire,21.0,village,assault,knife,dusk,teeth
7046,2020-04-22,Skeleton,94.0,castle,vandalism,N/A,day,bones
5862,2023-05-21,Zombie,28.0,swamp,murder,axe,dawn,potions
3981,2021-11-07,Werewolf,26.0,forest,nightly disturbance,N/A,night,teeth
2973,2020-02-11,Skeleton,80.0,mountain,vandalism,knife,dusk,bones
4013,2021-08-16,Skeleton,7.0,swamp,nightly disturbance,N/A,night,bones
2598,2023-07-03,Skeleton,11.0,forest,assault,brute force,day,cloak
8241,2024-05-29,Witch,82.0,swamp,arson,N/A,dawn,bones
7295,2023-08-01,Vampire,42.0,village,murder,knife,night,teeth
823,2020-09-02,Zombie,91.0,forest,kidnapping,brute force,night,bones
274,2021-03-20,Vampire,55.0,forest,nightly disturbance,brute force,night,teeth
1125,2020-05-22,Ghost,93.0,castle,nightly disturbance,axe,night,cloak
3102,2023-10-14,Ghost,88.0,castle,nightly disturbance,brute force,night,cloak
73,2024-08-28,Skeleton,43.0,castle,arson,knife,day,cloak
4833,2020-02-14,Ghost,99.0,castle,vandalism,knife,night,cloak
5635,2021-11-30,Skeleton,63.0,mountain,nightly disturbance,pistol,night,cloak
551,2021-03-24,Witch,33.0,village,arson,Brute force,dusk,teeth
4756,2021-11-29,Witch,32.0,swamp,arson,knife,dusk,potions
2723,2020-03-29,Vampire,99.0,castle,nightly disturbance,knife,night,blood
9841,2022-11-10,Werewolf,40.0,forest,vandalism,knife,night,blood
2295,2020-07-20,Vampire,41.0,forest,assault,brute force,night,blood
8002,2022-08-31,Skeleton,90.0,swamp,arson,knife,day,cloak
8140,2021-08-05,Zombie,97.0,mountain,kidnapping,knife,dawn,blood
9679,2020-07-22,Skeleton,31.0,mountain,assault,pistol,day,bones
7252,2022-01-27,Witch,35.0,village,assault,axe,day,potions
4070,2020-09-09,Vampire,79.0,castle,theft,brute force,night,cloak
7659,2022-01-20,Zombie,48.0,mountain,kidnapping,knife,dusk,potions
6631,2023-05-11,Werewolf,16.0,forest,assault,axe,day,Fur
7905,2019-11-29,Werewolf,91.0,forest,vandalism,axe,night,fur
5212,2021-08-20,Werewolf,35.0,forest,assault,knife,night,blood
6559,2020-09-20,Skeleton,31.0,mountain,arson,pistol,day,bones
5859,2023-05-14,Ghost,13.0,village,nightly disturbance,axe,night,Potions
4951,2020-06-09,Werewolf,64.0,forest,assault,N/A,dusk,fur
8024,2022-08-13,Witch,79.0,swamp,arson,N/A,dawn,cloak
6399,2021-08-20,Witch,75.0,mountain,kidnapping,N/A,dawn,bones
9330,2020-04-29,Witch,47.0,mountain,arson,N/A,day,cloak
6218,2020-04-27,Ghost,91.0,castle,vandalism,axe,dusk,potions
640,2020-06-22,Vampire,34.0,village,theft,axe,night,cloak
8347,2023-04-28,witch,62.0,village,kidnapping,knife,dusk,cloak
6371,2022-09-13,Werewolf,67.0,forest,vandalism,N/A,day,teeth
9025,2021-07-10,Zombie,38.0,swamp,kidnapping,axe,night,bones
9811,2022-12-08,Zombie,65.0,swamp,kidnapping,N/A,day,potions
873,2019-12-28,Witch,72.0,Swamp,arson,N/A,dusk,blood
1489,2024-03-17,Ghost,10.0,village,vandalism,axe,night,potions
3057,2022-06-27,Vampire,10.0,castle,assault,axe,dusk,teeth
9843,2021-07-21,Ghost,36.0,castle,nightly disturbance,pistol,night,cloak
1007,2024-06-22,Werewolf,3.0,forest,assault,pistol,night,fur
8574,2023-09-08,Ghost,51.0,castle,vandalism,axe,night,potions
1750,2024-10-16,Witch,81.0,village,arson,knife,day,cloak
8909,2024-07-31,Ghost,81.0,forest,vandalism,N/A,dawn,cloak
4822,2022-02-28,Vampire,67.0,village,assault,knife,night,blood
7873,2022-10-01,Ghost,71.0,castle,vandalism,N/A,dawn,cloak
2874,2024-05-09,Werewolf,86.0,village,assault,axe,dusk,potions
2152,2024-03-06,Werewolf,16.0,forest,assault,knife,night,bones
5488,2022-01-01,Witch,5.0,village,arson,knife,dawn,cloak
6146,2020-02-01,Skeleton,59.0,swamp,assault,pistol,day,bones
2366,2023-08-15,Ghost,44.0,village,nightly disturbance,N/A,night,potions
6775,2023-06-11,Skeleton,19.0,swamp,nightly disturbance,brute force,night,bones
2340,2023-12-20,Skeleton,58.0,castle,nightly disturbance,N/A,night,bones
2244,2020-04-19,Ghost,41.0,castle,vandalism,N/A,night,potions
1891,2022-08-30,Zombie,42.0,forest,kidnapping,N/A,dawn,teeth
3410,2021-07-22,Werewolf,26.0,mountain,assault,pistol,night,fur
3806,2023-05-26,Vampire,81.0,castle,murder,axe,night,teeth
4046,2019-12-24,Vampire,59.0,village,theft,axe,night,blood
7540,2021-07-05,Vampire,13.0,forest,nightly disturbance,brute force,night,blood
4129,2022-01-08,Witch,7.0,mountain,arson,knife,day,cloak
5647,2024-07-10,Werewolf,33.0,village,assault,knife,night,fur
7885,2024-01-02,Zombie,27.0,mountain,assault,N/A,night,bones
4022,2021-06-17,Ghost,99.0,mountain,arson,N/A,night,cloak
3375,2020-03-04,Ghost,58.0,village,theft,knife,dawn,cloak
881,2020-10-02,Skeleton,79.0,mountain,nightly disturbance,knife,night,bones
8368,2024-06-04,Zombie,86.0,swamp,assault,N/A,night,potions
7031,2020-10-04,Witch,70.0,village,arson,N/A,night,fur
1216,2022-02-12,Ghost,54.0,mountain,nightly disturbance,axe,night,cloak
8353,2020-12-11,Zombie,38.0,swamp,vandalism,N/A,night,bones
7483,2022-11-26,Werewolf,16.0,forest,assault,knife,night,blood
2652,2024-04-06,Skeleton,1.0,mountain,vandalism,knife,dusk,cloak
5428,2022-11-11,Vampire,52.0,castle,theft,knife,night,blood
5752,2020-08-11,Skeleton,28.0,swamp,nightly disturbance,pistol,night,bones
8004,2023-12-10,Witch,57.0,swamp,arson,knife,night,teeth
2622,2022-03-17,Ghost,77.0,castle,nightly disturbance,Knife,night,potions
7572,2024-09-09,Werewolf,26.0,forest,assault,knife,night,fur
1422,2019-11-04,Werewolf,88.0,mountain,assault,pistol,dusk,fur
2830,2022-10-26,Werewolf,70.0,mountain,nightly disturbance,pistol,night,bones
3277,2023-12-16,Skeleton,99.0,mountain,Vandalism,knife,day,cloak
4916,2023-01-31,Witch,68.0,village,arson,N/A,night,potions
3484,2024-09-25,Skeleton,10.0,castle,nightly disturbance,knife,night,cloak
7363,2024-04-01,Zombie,28.0,forest,kidnapping,axe,night,fur
2496,2022-10-31,Ghost,49.0,village,nightly disturbance,knife,night,potions
1115,2021-01-15,Zombie,31.0,swamp,murder,brute force,dawn,fur
6227,2019-12-05,Vampire,21.0,castle,murder,pistol,dusk,blood
6740,2023-03-04,Zombie,25.0,forest,vandalism,N/A,dawn,blood
9166,2024-05-13,Witch,65.0,village,assault,pistol,dusk,cloak
1753,2020-05-19,Vampire,76.0,village,assault,knife,night,blood
3798,2020-01-02,Zombie,88.0,swamp,kidnapping,knife,dawn,potions
