Index_Crimes,Date,Monster involved,Days of Investigation,Region,Crime Type,Crime Weapon,Time of Day,Evidence Found,Index_Monster,Monster,Criminal record,Age,Gender,Height in cm,Speed Level,Strength Level,Allergy,Favorite Food
7545,2023-08-10,witch,38.0,forest,kidnapping,axe,day,cloak,7545,witch,yes,699.0,m,198.0,10.0,6.0,hazelnut,lasagna
3642,2021-05-01,zombie,92.0,village,kidnapping,brute force,night,potions,3642,zombie,yes,95.0,f,155.0,17.0,9.0,sunlight,pesto pasta
1064,2021-09-26,skeleton,98.0,mountain,arson,axe,day,bones,1064,skeleton,no,707.0,f,188.0,1.0,8.0,silver,lasagna
4198,2021-10-12,ghost,26.0,village,vandalism,brute force,night,cloak,4198,ghost,no,778.0,m,157.0,37.0,10.0,pumpkin,brain
9773,2020-04-23,witch,11.0,mountain,arson,pistol,dusk,bones,9773,witch,no,364.0,m,161.0,18.0,3.0,hazelnut,pesto pasta
100,2023-08-02,ghost,99.0,castle,nightly disturbance,,night,cloak,100,ghost,no,1666.0,f,195.0,28.0,1.0,pumpkin,pesto pasta
7581,2023-09-03,zombie,32.0,swamp,kidnapping,pistol,dusk,potions,7581,zombie,yes,113.0,m,168.0,26.0,5.0,cat hair,lasagna
1471,2024-01-02,witch,23.0,swamp,arson,knife,dawn,bones,1471,witch,no,129.0,m,157.0,26.0,2.0,garlic,pesto pasta
7764,2021-08-26,ghost,21.0,village,nightly disturbance,,night,cloak,7764,ghost,no,1049.0,f,168.0,29.0,1.0,sunlight,brain
4045,2021-09-14,skeleton,86.0,castle,vandalism,,day,bones,4045,skeleton,yes,1283.0,f,150.0,5.0,9.0,silver,pesto pasta
6936,2023-02-02,skeleton,86.0,mountain,vandalism,brute force,day,bones,6936,skeleton,no,1635.0,f,169.0,56.0,7.0,silver,pesto pasta
4555,2023-09-09,werewolf,4.0,forest,assault,,night,teeth,4555,werewolf,yes,186.0,f,164.0,77.0,8.0,silver,rats
3334,2020-08-12,skeleton,63.0,mountain,assault,,day,cloak,3334,skeleton,no,1098.0,m,152.0,47.0,2.0,silver,rats
3838,2020-05-08,witch,54.0,mountain,arson,knife,night,cloak,3838,witch,yes,325.0,f,155.0,21.0,2.0,hazelnut,humans
4325,2022-07-28,ghost,6.0,castle,vandalism,pistol,night,potions,4325,ghost,yes,649.0,f,158.0,54.0,10.0,sunlight,lasagna
9142,2024-03-05,witch,79.0,swamp,kidnapping,axe,dusk,bones,9142,witch,no,527.0,f,179.0,17.0,3.0,pumpkin,pesto pasta
6528,2021-02-27,zombie,82.0,mountain,kidnapping,axe,day,fur,6528,zombie,no,116.0,m,190.0,10.0,6.0,cat hair,humans
7989,2024-04-02,zombie,51.0,village,kidnapping,pistol,dawn,blood,7989,zombie,yes,28.0,m,159.0,19.0,5.0,cat hair,rats
1429,2024-04-03,werewolf,21.0,forest,kidnapping,brute force,night,teeth,1429,werewolf,yes,143.0,f,183.0,99.0,6.0,silver,rats
548,2022-03-28,witch,32.0,swamp,arson,pistol,dusk,bones,548,witch,no,646.0,m,176.0,13.0,8.0,hazelnut,brain
5875,2021-04-15,werewolf,71.0,mountain,vandalism,,night,fur,5875,werewolf,no,6.0,m,154.0,38.0,4.0,silver,rats
8283,2021-11-19,werewolf,24.0,village,assault,knife,dusk,fur,8283,werewolf,no,157.0,m,161.0,88.0,6.0,cat hair,lasagna
3718,2021-06-25,werewolf,96.0,village,kidnapping,pistol,dusk,fur,3718,werewolf,yes,64.0,f,154.0,80.0,6.0,cat hair,pesto pasta
762,2023-09-07,werewolf,94.0,forest,assault,axe,dawn,blood,762,werewolf,no,15.0,f,178.0,48.0,6.0,hazelnut,humans
4238,2022-04-02,witch,13.0,village,arson,brute force,dusk,potions,4238,witch,no,328.0,m,165.0,21.0,8.0,hazelnut,brain
2680,2021-05-14,werewolf,25.0,village,kidnapping,knife,night,teeth,2680,werewolf,no,132.0,m,179.0,62.0,5.0,hazelnut,rats
4568,2020-04-15,witch,66.0,mountain,kidnapping,,dusk,potions,4568,witch,no,217.0,f,158.0,27.0,2.0,hazelnut,brain
9614,2021-05-21,werewolf,4.0,mountain,assault,,night,teeth,9614,werewolf,no,182.0,f,170.0,69.0,2.0,silver,humans
3152,2021-10-24,skeleton,84.0,mountain,arson,,dawn,bones,3152,skeleton,no,352.0,m,177.0,28.0,7.0,silver,pesto pasta
3767,2024-07-20,ghost,7.0,village,nightly disturbance,knife,night,cloak,3767,ghost,no,2100.0,m,182.0,45.0,2.0,sunlight,rats
3925,2021-08-28,skeleton,60.0,mountain,vandalism,axe,day,cloak,3925,skeleton,yes,785.0,m,175.0,4.0,8.0,silver,rats
7178,2023-03-18,skeleton,60.0,mountain,assault,,dusk,bones,7178,skeleton,yes,286.0,f,157.0,29.0,8.0,silver,brain
8148,2022-08-01,werewolf,99.0,forest,nightly disturbance,pistol,night,blood,8148,werewolf,yes,197.0,f,194.0,88.0,5.0,silver,pesto pasta
7396,2022-02-09,vampire,74.0,village,assault,,night,blood,7396,vampire,no,481.0,m,183.0,37.0,7.0,garlic,humans
8570,2023-07-06,witch,71.0,swamp,arson,knife,dusk,bones,8570,witch,yes,222.0,f,195.0,14.0,3.0,hazelnut,brain
8857,2022-11-16,ghost,56.0,castle,vandalism,,night,potions,8857,ghost,yes,1247.0,f,158.0,29.0,2.0,sunlight,brain
6566,2023-12-20,skeleton,51.0,mountain,assault,brute force,day,bones,6566,skeleton,yes,1746.0,f,159.0,9.0,10.0,cat hair,humans
8513,2021-06-20,zombie,29.0,swamp,assault,axe,dawn,fur,8513,zombie,no,115.0,m,154.0,8.0,4.0,cat hair,humans
8040,2020-07-31,skeleton,57.0,castle,assault,brute force,night,bones,8040,skeleton,no,582.0,m,166.0,18.0,9.0,hazelnut,pesto pasta
609,2024-09-17,skeleton,21.0,castle,nightly disturbance,knife,night,cloak,609,skeleton,no,1077.0,f,167.0,16.0,1.0,hazelnut,lasagna
9341,2024-05-22,skeleton,10.0,mountain,vandalism,brute force,dawn,bones,9341,skeleton,no,1040.0,m,152.0,21.0,7.0,garlic,rats
9009,2024-05-06,skeleton,83.0,mountain,vandalism,knife,dusk,cloak,9009,skeleton,yes,1732.0,f,180.0,21.0,2.0,garlic,lasagna
6884,2019-11-08,skeleton,88.0,castle,arson,,dawn,bones,6884,skeleton,no,1079.0,f,186.0,17.0,2.0,garlic,rats
5468,2022-04-17,ghost,49.0,village,arson,pistol,night,potions,5468,ghost,yes,967.0,m,181.0,48.0,10.0,sunlight,lasagna
8836,2022-03-07,skeleton,46.0,castle,vandalism,,day,cloak,8836,skeleton,no,1121.0,f,170.0,39.0,3.0,silver,brain
5580,2024-10-05,witch,67.0,village,kidnapping,knife,dusk,cloak,5580,witch,no,478.0,m,154.0,4.0,2.0,hazelnut,pesto pasta
1056,2024-08-06,witch,7.0,forest,arson,,day,fur,1056,witch,yes,458.0,m,181.0,15.0,1.0,hazelnut,rats
7405,2024-04-30,vampire,78.0,forest,theft,knife,dusk,blood,7405,vampire,yes,616.0,m,190.0,52.0,3.0,garlic,lasagna
1573,2023-08-29,werewolf,52.0,forest,vandalism,pistol,night,teeth,1573,werewolf,yes,187.0,f,194.0,82.0,5.0,cat hair,pesto pasta
3778,2020-03-01,werewolf,90.0,mountain,assault,brute force,night,fur,3778,werewolf,yes,100.0,f,157.0,58.0,6.0,silver,pesto pasta
3559,2021-06-13,witch,78.0,mountain,arson,,dawn,blood,3559,witch,yes,490.0,f,151.0,19.0,1.0,hazelnut,brain
183,2022-12-06,witch,51.0,forest,arson,knife,dawn,teeth,183,witch,yes,458.0,m,156.0,15.0,3.0,hazelnut,brain
2140,2020-06-21,vampire,85.0,village,assault,brute force,night,teeth,2140,vampire,yes,563.0,f,172.0,20.0,8.0,silver,pesto pasta
1718,2023-08-06,vampire,30.0,castle,assault,knife,night,blood,1718,vampire,yes,356.0,f,199.0,38.0,1.0,garlic,brain
1394,2022-02-11,vampire,50.0,castle,nightly disturbance,axe,night,blood,1394,vampire,no,815.0,m,199.0,29.0,6.0,sunlight,lasagna
7300,2023-10-16,vampire,62.0,castle,theft,brute force,night,blood,7300,vampire,no,963.0,m,184.0,51.0,6.0,sunlight,humans
9235,2020-02-17,skeleton,58.0,forest,nightly disturbance,axe,night,bones,9235,skeleton,yes,1182.0,f,172.0,32.0,8.0,silver,brain
626,2023-08-21,ghost,36.0,village,vandalism,,dusk,cloak,626,ghost,yes,3074.0,f,150.0,41.0,6.0,garlic,rats
3216,2020-08-06,skeleton,11.0,mountain,nightly disturbance,knife,night,bones,3216,skeleton,no,860.0,f,173.0,40.0,2.0,silver,rats
9949,2021-09-23,vampire,35.0,castle,assault,axe,night,cloak,9949,vampire,no,565.0,f,191.0,30.0,5.0,garlic,rats
1616,2021-06-25,vampire,98.0,village,assault,,dawn,teeth,1616,vampire,yes,700.0,f,177.0,52.0,8.0,garlic,pesto pasta
6023,2024-02-25,zombie,49.0,swamp,assault,axe,day,potions,6023,zombie,yes,90.0,m,158.0,13.0,10.0,silver,brain
1631,2022-08-12,skeleton,34.0,castle,arson,knife,dusk,bones,1631,skeleton,no,648.0,f,177.0,42.0,1.0,cat hair,pesto pasta
5980,2024-06-12,witch,10.0,village,arson,brute force,day,cloak,5980,witch,yes,325.0,f,193.0,32.0,5.0,garlic,brain
9688,2022-01-05,witch,72.0,village,arson,,day,blood,9688,witch,no,599.0,f,179.0,20.0,1.0,hazelnut,brain
3930,2022-05-09,ghost,73.0,castle,theft,pistol,dusk,potions,3930,ghost,yes,770.0,m,172.0,13.0,10.0,sunlight,humans
2107,2024-01-06,ghost,79.0,castle,nightly disturbance,knife,night,cloak,2107,ghost,no,2299.0,f,198.0,39.0,10.0,pumpkin,rats
4620,2021-12-21,skeleton,21.0,mountain,vandalism,knife,day,bones,4620,skeleton,yes,1660.0,m,182.0,1.0,6.0,silver,lasagna
5653,2020-02-22,skeleton,7.0,mountain,vandalism,knife,dusk,bones,5653,skeleton,no,1120.0,f,153.0,38.0,9.0,silver,humans
5171,2024-02-16,witch,53.0,mountain,kidnapping,knife,night,cloak,5171,witch,no,377.0,f,180.0,22.0,3.0,pumpkin,lasagna
4633,2023-04-01,skeleton,95.0,mountain,assault,,dusk,bones,4633,skeleton,yes,1836.0,f,152.0,1.0,2.0,silver,rats
4949,2020-08-16,werewolf,50.0,forest,assault,axe,dusk,teeth,4949,werewolf,yes,89.0,f,187.0,88.0,8.0,garlic,rats
8337,2019-11-22,skeleton,87.0,mountain,assault,axe,day,bones,8337,skeleton,no,902.0,f,169.0,1.0,3.0,garlic,lasagna
5976,2023-02-16,werewolf,18.0,mountain,nightly disturbance,pistol,night,fur,5976,werewolf,yes,57.0,m,159.0,71.0,8.0,silver,lasagna
5179,2021-04-27,ghost,51.0,village,vandalism,knife,night,potions,5179,ghost,no,646.0,f,156.0,57.0,2.0,sunlight,lasagna
8419,2021-08-16,werewolf,75.0,swamp,assault,pistol,night,blood,8419,werewolf,no,26.0,m,152.0,50.0,7.0,silver,humans
1940,2020-05-11,vampire,38.0,castle,assault,brute force,dawn,blood,1940,vampire,no,539.0,f,156.0,35.0,8.0,sunlight,pesto pasta
8415,2022-03-15,witch,14.0,village,arson,pistol,dusk,potions,8415,witch,yes,531.0,m,156.0,15.0,5.0,garlic,brain
5767,2023-02-08,ghost,78.0,village,vandalism,knife,night,potions,5767,ghost,no,1764.0,f,176.0,95.0,1.0,sunlight,lasagna
5440,2020-12-26,zombie,55.0,village,assault,knife,dusk,fur,5440,zombie,no,54.0,f,167.0,14.0,3.0,cat hair,pesto pasta
6402,2020-10-26,skeleton,74.0,castle,arson,pistol,day,bones,6402,skeleton,yes,135.0,f,158.0,30.0,8.0,silver,rats
2077,2020-06-19,ghost,83.0,village,vandalism,brute force,night,potions,2077,ghost,no,1587.0,f,184.0,19.0,10.0,silver,rats
7687,2020-09-25,skeleton,34.0,castle,vandalism,brute force,day,bones,7687,skeleton,no,671.0,f,152.0,31.0,10.0,silver,rats
9301,2020-06-17,skeleton,55.0,castle,arson,,day,bones,9301,skeleton,no,2175.0,m,184.0,21.0,1.0,silver,rats
4003,2020-10-11,witch,81.0,village,arson,brute force,dawn,potions,4003,witch,no,457.0,m,150.0,24.0,9.0,hazelnut,pesto pasta
1138,2024-06-30,vampire,76.0,castle,assault,pistol,dusk,blood,1138,vampire,yes,431.0,m,162.0,40.0,5.0,sunlight,rats
3463,2020-03-19,werewolf,12.0,village,vandalism,axe,dusk,fur,3463,werewolf,yes,93.0,f,169.0,58.0,7.0,silver,brain
4647,2024-08-25,skeleton,57.0,mountain,nightly disturbance,knife,night,bones,4647,skeleton,no,1292.0,f,153.0,23.0,3.0,silver,lasagna
3760,2024-05-31,ghost,12.0,village,nightly disturbance,pistol,night,potions,3760,ghost,yes,1449.0,m,153.0,40.0,7.0,sunlight,lasagna
2417,2022-06-01,ghost,16.0,castle,vandalism,knife,night,cloak,2417,ghost,no,2293.0,f,167.0,55.0,10.0,cat hair,brain
1337,2022-08-09,zombie,66.0,swamp,assault,brute force,night,potions,1337,zombie,yes,51.0,m,172.0,18.0,7.0,sunlight,humans
1619,2023-07-09,zombie,96.0,village,kidnapping,axe,dawn,teeth,1619,zombie,yes,102.0,m,160.0,15.0,5.0,sunlight,brain
7295,2024-04-26,witch,59.0,village,arson,brute force,dusk,potions,7295,witch,yes,402.0,f,162.0,21.0,8.0,pumpkin,pesto pasta
7498,2024-02-11,skeleton,93.0,mountain,arson,axe,day,cloak,7498,skeleton,no,336.0,f,179.0,1.0,4.0,silver,brain
4380,2021-04-30,zombie,88.0,swamp,kidnapping,knife,dusk,fur,4380,zombie,no,79.0,f,165.0,15.0,2.0,cat hair,rats
5652,2024-06-06,werewolf,74.0,swamp,assault,axe,dusk,blood,5652,werewolf,no,16.0,f,158.0,57.0,7.0,silver,lasagna
4456,2024-03-26,werewolf,50.0,village,assault,knife,night,teeth,4456,werewolf,no,157.0,f,163.0,62.0,8.0,silver,lasagna
5918,2021-09-10,witch,64.0,village,arson,,night,potions,5918,witch,yes,371.0,f,193.0,18.0,4.0,garlic,pesto pasta
9436,2019-10-31,zombie,81.0,mountain,murder,knife,day,potions,9436,zombie,yes,122.0,f,179.0,11.0,4.0,pumpkin,pesto pasta
4032,2020-06-05,zombie,75.0,mountain,kidnapping,pistol,dawn,blood,4032,zombie,yes,76.0,m,185.0,17.0,6.0,sunlight,lasagna
6141,2020-08-08,ghost,60.0,mountain,arson,knife,night,cloak,6141,ghost,yes,111.0,m,191.0,76.0,1.0,sunlight,lasagna
1575,2022-08-14,zombie,81.0,swamp,assault,axe,night,teeth,1575,zombie,no,58.0,m,184.0,6.0,6.0,cat hair,brain
4729,2024-04-02,vampire,83.0,castle,assault,pistol,dawn,teeth,4729,vampire,yes,349.0,m,180.0,46.0,6.0,garlic,pesto pasta
7630,2020-05-14,witch,84.0,village,arson,pistol,dusk,cloak,7630,witch,no,165.0,m,199.0,22.0,3.0,garlic,pesto pasta
3811,2020-11-26,vampire,38.0,forest,theft,brute force,night,cloak,3811,vampire,no,656.0,f,171.0,28.0,7.0,silver,pesto pasta
8869,2022-02-15,werewolf,88.0,forest,assault,knife,night,blood,8869,werewolf,no,49.0,f,183.0,66.0,4.0,silver,brain
3493,2020-10-29,zombie,98.0,forest,kidnapping,,dawn,bones,3493,zombie,no,53.0,m,158.0,16.0,6.0,cat hair,lasagna
8469,2021-01-05,skeleton,12.0,castle,arson,knife,day,bones,8469,skeleton,no,1032.0,m,176.0,33.0,3.0,garlic,pesto pasta
1369,2023-05-02,zombie,25.0,swamp,assault,knife,dawn,fur,1369,zombie,yes,75.0,m,185.0,13.0,8.0,silver,lasagna
46,2021-05-21,vampire,91.0,mountain,nightly disturbance,knife,night,blood,46,vampire,yes,675.0,f,160.0,45.0,7.0,sunlight,rats
9970,2021-02-18,witch,64.0,village,arson,axe,day,teeth,9970,witch,no,619.0,m,199.0,20.0,4.0,hazelnut,humans
756,2021-12-24,ghost,29.0,village,theft,,dawn,cloak,756,ghost,no,916.0,m,186.0,85.0,3.0,sunlight,lasagna
7994,2024-03-21,ghost,27.0,forest,theft,knife,night,potions,7994,ghost,no,814.0,f,157.0,66.0,3.0,pumpkin,humans
4283,2021-10-11,werewolf,46.0,mountain,assault,knife,night,bones,4283,werewolf,no,169.0,f,161.0,78.0,2.0,cat hair,rats
5687,2022-08-29,vampire,31.0,castle,assault,pistol,dusk,blood,5687,vampire,yes,349.0,m,183.0,49.0,6.0,garlic,lasagna
4704,2019-11-23,zombie,61.0,forest,murder,knife,night,blood,4704,zombie,no,42.0,f,196.0,22.0,2.0,sunlight,rats
4280,2022-01-10,ghost,58.0,forest,nightly disturbance,,night,cloak,4280,ghost,yes,2653.0,m,195.0,32.0,1.0,sunlight,lasagna
3496,2022-10-17,vampire,84.0,mountain,nightly disturbance,pistol,night,blood,3496,vampire,yes,171.0,f,195.0,36.0,6.0,garlic,rats
7454,2022-01-24,vampire,73.0,castle,assault,axe,night,blood,7454,vampire,yes,307.0,f,185.0,32.0,6.0,silver,lasagna
5607,2021-02-27,werewolf,26.0,forest,kidnapping,knife,night,teeth,5607,werewolf,yes,101.0,f,165.0,100.0,6.0,silver,lasagna
7146,2020-03-18,werewolf,93.0,mountain,assault,axe,dusk,fur,7146,werewolf,no,32.0,f,193.0,95.0,5.0,silver,brain
5898,2021-07-02,zombie,27.0,village,kidnapping,knife,dawn,blood,5898,zombie,yes,152.0,m,155.0,23.0,3.0,garlic,humans
8171,2023-12-11,werewolf,65.0,forest,assault,axe,night,blood,8171,werewolf,no,118.0,f,155.0,95.0,7.0,garlic,brain
5531,2023-08-29,vampire,15.0,village,theft,axe,dusk,teeth,5531,vampire,yes,585.0,f,180.0,43.0,8.0,sunlight,humans
3651,2024-05-03,zombie,14.0,swamp,kidnapping,pistol,dusk,bones,3651,zombie,no,139.0,m,154.0,18.0,6.0,garlic,lasagna
7574,2022-01-27,ghost,10.0,castle,nightly disturbance,,night,cloak,7574,ghost,yes,2339.0,m,162.0,47.0,5.0,garlic,lasagna
7124,2020-10-13,vampire,70.0,castle,murder,knife,dawn,cloak,7124,vampire,yes,429.0,f,182.0,45.0,6.0,sunlight,lasagna
7440,2021-02-11,vampire,78.0,village,assault,pistol,night,teeth,7440,vampire,no,136.0,f,180.0,31.0,8.0,garlic,rats
8096,2024-06-02,zombie,57.0,swamp,murder,knife,night,fur,8096,zombie,no,90.0,f,170.0,12.0,1.0,cat hair,brain
9735,2021-09-20,skeleton,63.0,swamp,vandalism,pistol,day,bones,9735,skeleton,yes,89.0,m,159.0,3.0,3.0,silver,brain
9146,2024-09-18,ghost,92.0,forest,nightly disturbance,knife,night,cloak,9146,ghost,no,1614.0,m,192.0,58.0,1.0,hazelnut,rats
672,2021-08-02,zombie,35.0,mountain,kidnapping,knife,night,bones,672,zombie,no,1.0,f,182.0,12.0,1.0,cat hair,brain
2347,2019-12-06,ghost,81.0,village,nightly disturbance,axe,night,potions,2347,ghost,no,742.0,m,173.0,56.0,8.0,sunlight,pesto pasta
3579,2021-07-06,werewolf,41.0,mountain,assault,brute force,night,teeth,3579,werewolf,yes,96.0,f,180.0,85.0,3.0,silver,rats
3715,2023-01-28,werewolf,19.0,forest,assault,pistol,dusk,potions,3715,werewolf,no,71.0,m,166.0,74.0,7.0,hazelnut,humans
9696,2021-06-12,werewolf,21.0,mountain,assault,knife,night,fur,9696,werewolf,yes,114.0,m,151.0,79.0,8.0,hazelnut,pesto pasta
3124,2023-09-13,witch,85.0,village,kidnapping,,dawn,potions,3124,witch,yes,583.0,m,176.0,15.0,3.0,hazelnut,rats
683,2022-01-31,zombie,96.0,swamp,kidnapping,,night,bones,683,zombie,yes,97.0,m,164.0,9.0,3.0,garlic,rats
8765,2022-06-05,werewolf,9.0,village,assault,,dusk,bones,8765,werewolf,yes,42.0,f,190.0,50.0,5.0,silver,lasagna
4931,2024-09-29,ghost,31.0,castle,theft,brute force,night,potions,4931,ghost,yes,2230.0,m,194.0,72.0,3.0,silver,brain
8159,2024-10-26,vampire,96.0,castle,assault,,night,blood,8159,vampire,no,250.0,m,151.0,56.0,6.0,silver,brain
1984,2023-01-25,zombie,39.0,swamp,kidnapping,knife,night,bones,1984,zombie,yes,102.0,m,184.0,20.0,2.0,pumpkin,rats
1860,2020-06-18,werewolf,32.0,forest,assault,,night,blood,1860,werewolf,no,69.0,f,197.0,72.0,7.0,silver,pesto pasta
7239,2021-08-06,skeleton,39.0,castle,arson,brute force,night,bones,7239,skeleton,no,468.0,m,164.0,19.0,3.0,silver,brain
9996,2024-07-05,werewolf,36.0,mountain,assault,axe,night,fur,9996,werewolf,yes,140.0,f,161.0,47.0,7.0,silver,rats
3575,2023-07-13,ghost,43.0,castle,nightly disturbance,,night,potions,3575,ghost,yes,1712.0,m,159.0,42.0,1.0,garlic,humans
8103,2022-12-02,werewolf,50.0,forest,vandalism,knife,dawn,fur,8103,werewolf,yes,104.0,m,173.0,43.0,5.0,garlic,rats
4913,2024-02-28,witch,35.0,village,arson,knife,night,bones,4913,witch,no,500.0,f,151.0,21.0,1.0,hazelnut,lasagna
4216,2020-06-09,skeleton,34.0,mountain,arson,knife,dusk,cloak,4216,skeleton,yes,1148.0,m,167.0,34.0,9.0,silver,rats
8168,2021-04-26,werewolf,31.0,village,assault,brute force,night,teeth,8168,werewolf,yes,46.0,f,169.0,59.0,6.0,silver,lasagna
4422,2024-08-27,witch,54.0,village,arson,axe,day,blood,4422,witch,yes,291.0,f,163.0,25.0,5.0,pumpkin,rats
6274,2024-05-29,zombie,80.0,village,vandalism,knife,dusk,teeth,6274,zombie,yes,45.0,m,189.0,17.0,1.0,garlic,humans
4813,2019-12-29,skeleton,46.0,castle,nightly disturbance,knife,night,bones,4813,skeleton,yes,658.0,f,196.0,12.0,4.0,hazelnut,lasagna
418,2020-03-18,werewolf,81.0,forest,kidnapping,axe,night,teeth,418,werewolf,yes,91.0,m,194.0,100.0,6.0,cat hair,rats
621,2021-05-23,ghost,63.0,village,theft,,dusk,cloak,621,ghost,yes,2568.0,f,158.0,18.0,2.0,pumpkin,rats
6188,2020-11-04,zombie,2.0,mountain,kidnapping,axe,day,bones,6188,zombie,no,123.0,f,159.0,12.0,5.0,garlic,rats
5262,2021-09-18,zombie,9.0,village,kidnapping,,dawn,potions,5262,zombie,no,110.0,m,196.0,9.0,3.0,cat hair,pesto pasta
1445,2022-07-28,zombie,20.0,mountain,kidnapping,knife,dawn,potions,1445,zombie,yes,99.0,f,159.0,18.0,6.0,garlic,lasagna
2453,2024-06-26,vampire,97.0,village,murder,brute force,night,teeth,2453,vampire,yes,423.0,m,175.0,38.0,4.0,sunlight,humans
8931,2024-01-30,werewolf,17.0,forest,vandalism,,dusk,potions,8931,werewolf,no,122.0,f,171.0,56.0,9.0,sunlight,rats
3872,2021-05-26,ghost,6.0,castle,vandalism,,night,cloak,3872,ghost,yes,1475.0,m,172.0,81.0,1.0,garlic,pesto pasta
4765,2020-03-13,witch,28.0,forest,arson,,dusk,cloak,4765,witch,no,94.0,m,189.0,23.0,1.0,hazelnut,rats
7256,2023-08-23,werewolf,2.0,forest,assault,brute force,dusk,blood,7256,werewolf,yes,29.0,m,163.0,72.0,9.0,hazelnut,humans
1432,2021-09-25,vampire,8.0,mountain,assault,pistol,dusk,blood,1432,vampire,no,586.0,m,166.0,53.0,8.0,silver,pesto pasta
7270,2021-04-01,zombie,17.0,swamp,kidnapping,knife,dusk,teeth,7270,zombie,yes,14.0,f,178.0,16.0,5.0,cat hair,pesto pasta
612,2019-12-17,witch,62.0,village,kidnapping,,night,cloak,612,witch,yes,522.0,f,176.0,8.0,1.0,hazelnut,rats
1287,2023-03-07,witch,58.0,village,kidnapping,pistol,night,cloak,1287,witch,yes,267.0,f,154.0,17.0,3.0,hazelnut,lasagna
4005,2021-12-17,skeleton,36.0,mountain,arson,knife,dusk,bones,4005,skeleton,no,1067.0,f,198.0,11.0,2.0,garlic,humans
6433,2023-03-16,werewolf,75.0,forest,kidnapping,,night,teeth,6433,werewolf,yes,76.0,f,174.0,78.0,6.0,hazelnut,brain
8835,2020-02-12,werewolf,85.0,village,kidnapping,knife,night,teeth,8835,werewolf,no,142.0,m,198.0,80.0,6.0,silver,pesto pasta
252,2020-07-13,witch,56.0,mountain,kidnapping,,dusk,teeth,252,witch,yes,653.0,f,158.0,20.0,1.0,hazelnut,lasagna
9318,2024-04-17,zombie,67.0,mountain,murder,,night,potions,9318,zombie,no,130.0,m,157.0,6.0,1.0,cat hair,lasagna
2005,2022-12-21,ghost,81.0,castle,vandalism,pistol,night,potions,2005,ghost,no,530.0,m,194.0,42.0,9.0,sunlight,rats
2867,2023-02-23,werewolf,14.0,forest,assault,pistol,night,teeth,2867,werewolf,yes,119.0,f,180.0,99.0,7.0,silver,pesto pasta
5430,2020-04-26,zombie,3.0,mountain,vandalism,pistol,night,fur,5430,zombie,yes,17.0,f,175.0,7.0,5.0,cat hair,pesto pasta
203,2023-11-16,vampire,94.0,forest,assault,pistol,night,blood,203,vampire,yes,682.0,f,179.0,38.0,6.0,garlic,pesto pasta
493,2021-04-23,zombie,20.0,village,kidnapping,brute force,night,potions,493,zombie,no,48.0,f,176.0,14.0,5.0,pumpkin,humans
6145,2021-09-02,ghost,31.0,village,arson,axe,dusk,cloak,6145,ghost,no,2001.0,f,195.0,100.0,9.0,pumpkin,humans
9046,2020-01-10,vampire,44.0,castle,nightly disturbance,,night,blood,9046,vampire,no,312.0,f,190.0,49.0,6.0,sunlight,pesto pasta
463,2021-01-08,ghost,4.0,mountain,vandalism,,dusk,potions,463,ghost,no,2689.0,f,188.0,66.0,1.0,pumpkin,humans
9896,2021-11-16,werewolf,84.0,forest,kidnapping,axe,dusk,teeth,9896,werewolf,no,106.0,m,176.0,85.0,7.0,silver,pesto pasta
8916,2022-12-24,werewolf,12.0,forest,assault,,dusk,fur,8916,werewolf,no,142.0,m,172.0,92.0,2.0,silver,rats
6581,2020-06-30,ghost,33.0,village,vandalism,,dusk,cloak,6581,ghost,yes,891.0,f,186.0,40.0,9.0,sunlight,brain
1740,2022-06-06,ghost,19.0,castle,vandalism,brute force,night,cloak,1740,ghost,no,1453.0,m,176.0,17.0,3.0,garlic,pesto pasta
7121,2022-06-21,witch,61.0,village,kidnapping,brute force,dusk,potions,7121,witch,no,338.0,m,155.0,16.0,8.0,pumpkin,lasagna
6448,2021-01-17,vampire,31.0,castle,murder,,night,blood,6448,vampire,yes,580.0,f,197.0,41.0,1.0,garlic,rats
8247,2022-01-20,werewolf,60.0,forest,assault,,night,teeth,8247,werewolf,yes,111.0,m,161.0,85.0,6.0,silver,brain
5827,2024-05-27,zombie,1.0,mountain,kidnapping,,night,fur,5827,zombie,no,41.0,m,150.0,14.0,2.0,sunlight,rats
5869,2021-07-19,ghost,82.0,castle,nightly disturbance,knife,night,cloak,5869,ghost,yes,2119.0,m,197.0,52.0,1.0,sunlight,humans
4673,2024-03-12,werewolf,67.0,forest,assault,axe,night,teeth,4673,werewolf,no,49.0,f,177.0,67.0,7.0,hazelnut,lasagna
871,2024-01-07,werewolf,52.0,forest,vandalism,,night,fur,871,werewolf,yes,110.0,f,156.0,82.0,2.0,silver,pesto pasta
2118,2023-07-29,vampire,22.0,castle,assault,,dusk,blood,2118,vampire,yes,739.0,m,190.0,40.0,2.0,silver,lasagna
956,2021-04-06,zombie,50.0,swamp,murder,axe,dawn,bones,956,zombie,no,166.0,f,159.0,15.0,4.0,garlic,humans
5700,2022-06-27,vampire,83.0,village,assault,,night,teeth,5700,vampire,yes,368.0,m,198.0,37.0,8.0,sunlight,rats
1459,2024-09-13,witch,53.0,swamp,arson,knife,dusk,cloak,1459,witch,yes,440.0,m,199.0,25.0,2.0,hazelnut,brain
